,Q1,Q2,EN,SN,FN,F,M,Q3,sim_status,final_neck_diameter,MAPE
115,0.959518585,0.905716785,0.29368564,0.140517525,0.058653437,0.00142758,413.4143716,0.92,failed,2.719772816,33.00824202
116,1.310461296,0.99043455,0.383097448,0.19953571,0.036947404,0.001302216,361.9023308,1.717,failed,2.993134141,37.26580413
117,1.097704231,0.968501363,0.354702404,0.183260084,0.065651527,0.001440865,233.6724946,1.204,failed,3.028627813,37.81276633
118,1.056071527,1.081653252,0.317195472,0.152583295,0.086225888,0.001407957,626.1676539,1.115,failed,3.187568605,37.40587758
119,1.030981392,1.04202266,0.255617054,0.131317384,0.072623637,0.001463398,672.3220013,1.062,failed,3.090388894,36.41841587
120,1.588183709,1.047390756,0.252652504,0.117742152,0.057427971,0.001496934,989.1916428,2.522,failed,3.27380687,15.59280993
121,0.966191798,1.052124309,0.254269529,0.168781908,0.074759249,0.001347997,49.18932141,0.933,failed,3.099398017,41.08763092
122,1.186222246,1.015180557,0.380796717,0.152856898,0.046428523,0.001414761,971.0804145,1.407,failed,3.240590274,6.565275995
123,0.993046292,0.958241196,0.360841322,0.169645652,0.060497312,0.001401041,657.6648854,0.986,failed,2.844491839,28.78449619
124,0.931105947,1.002039199,0.289968585,0.140901494,0.03224751,0.001498233,229.9147981,0.866,failed,2.706374049,33.01069744
125,1.396355397,0.966169661,0.325316016,0.148327979,0.058156578,0.001442222,54.34551264,1.949,failed,3.193431914,41.37465193
126,1.499820296,1.035308329,0.253561396,0.15866546,0.072672231,0.001358927,708.1740505,2.249,failed,3.315146029,42.29875336
127,1.441550514,0.942916296,0.329623505,0.197515375,0.05815623,0.001442493,340.5404004,2.078,failed,3.783480555,55.39604179
128,1.43285273,0.907789051,0.305256229,0.171985685,0.086041643,0.001352364,786.0373456,2.053,failed,3.186715961,36.19613367
129,1.369605273,1.067892042,0.274885979,0.107597805,0.082810461,0.001491448,369.8497367,1.875,failed,3.409657061,45.73209246
130,0.964408198,0.919283172,0.251473496,0.170199096,0.063745019,0.001474189,307.9792109,0.93,failed,2.799373507,35.56025371
131,1.340721431,1.041187831,0.37594286,0.131182539,0.086555827,0.001308558,195.0758706,1.797,failed,3.79294467,52.88422257
132,1.560922602,0.941172697,0.38222594,0.15860811,0.08091161,0.001443252,833.6150897,2.436,failed,3.234897316,20.26316066
133,0.977521022,0.926030344,0.378442831,0.116042711,0.055992095,0.001374744,931.8875093,0.955,failed,3.632594019,13.89522451
134,1.004845625,0.969337026,0.274191307,0.119908954,0.060076627,0.001349985,1070.752002,1.009,failed,3.25325495,6.590722867
135,1.320440243,1.065000352,0.321922817,0.149677499,0.030390028,0.001441382,600.3307156,1.743,failed,3.026033342,32.73488038
136,0.91021895,0.959837921,0.338358534,0.198809496,0.089760369,0.001302523,360.2346813,0.828,failed,2.947443247,36.69307793
137,1.292116625,0.972176717,0.284107276,0.113839026,0.07302726,0.001400339,886.876305,1.669,failed,3.138440132,19.74084419
138,0.922513441,0.941906305,0.325878152,0.180723793,0.033321961,0.001396666,643.5715169,0.851,failed,2.549540758,24.55558522
139,1.075485015,1.027689895,0.352116422,0.120544118,0.033900674,0.001422257,174.5823252,1.156,failed,3.793117836,52.44353704
140,1.102989166,1.007172028,0.349263662,0.152988164,0.042794404,0.001432483,931.5567215,1.216,failed,3.633159399,14.56624983
141,0.940970989,0.960393355,0.374488604,0.182963832,0.068168541,0.001318638,532.3739783,0.885,failed,3.790670395,52.67973046
142,1.15489891,1.056675198,0.285098473,0.182365393,0.067119509,0.001392768,94.89031105,1.333,failed,3.206461787,42.1562831
143,1.199512228,1.05229637,0.37333763,0.111426948,0.066003881,0.001326048,177.8123825,1.438,failed,3.792978108,52.44656903
144,1.062099893,1.014219214,0.27332097,0.137471428,0.062973359,0.001353644,168.1321639,1.128,failed,3.084419191,39.57445592
145,1.577425326,0.976457817,0.329571226,0.150761543,0.062222233,0.001439021,824.4363934,2.488,failed,3.198845267,22.80828872
146,1.418207225,0.963761138,0.384668967,0.138710017,0.062551959,0.001448059,75.66164347,2.011,failed,3.233379543,40.8340346
147,1.210635621,1.090594674,0.367942218,0.163287745,0.030792019,0.001433209,909.0438342,1.465,failed,3.159903705,6.014846924
148,1.248490909,0.992135135,0.281961285,0.128246291,0.063076364,0.0014092,742.1657374,1.558,failed,3.108071148,33.03107263
149,1.051122726,0.923235311,0.291345519,0.114592585,0.085263953,0.001490329,593.008047,1.104,failed,2.974823952,34.86994526
150,1.405395657,0.979136574,0.341824815,0.191699497,0.072715397,0.001381563,479.3000155,1.975,failed,3.217621446,39.70607566
151,1.488840088,1.046245603,0.377081438,0.158293646,0.032626244,0.001400013,730.2513069,2.216,failed,3.074766517,22.55568049
152,0.921898592,1.096312994,0.338259405,0.131289005,0.0713452,0.001382969,618.1209824,0.849,failed,3.057348549,33.60876483
153,1.337838918,1.088789968,0.259606396,0.152456961,0.077991233,0.001317019,57.78610913,1.789,failed,3.808691144,56.45333433
154,1.523762709,1.02348254,0.395819148,0.193060117,0.079029287,0.001332212,230.7359743,2.321,failed,3.357802331,43.10109532
155,1.02895114,0.918294416,0.260623966,0.114158829,0.062127848,0.00138893,626.5537698,1.058,failed,2.843641877,32.70329178
156,0.950727333,0.993553201,0.396639145,0.180377786,0.054880178,0.001383888,559.5840246,0.903,failed,2.839507461,30.64660843
157,1.523339979,1.076956332,0.270186409,0.197364371,0.072641742,0.001490182,216.0126183,2.32,failed,3.385743141,46.12517093
158,1.269819486,1.080142231,0.393917135,0.106015179,0.037443892,0.001321171,164.9128132,1.612,failed,3.792535231,52.44679995
159,1.326663863,0.922521146,0.303416521,0.167900716,0.034998202,0.001302193,137.6080829,1.76,failed,2.912743807,36.60053515
160,1.383420869,1.026894833,0.381415886,0.164539867,0.039551626,0.001370644,185.807991,1.913,failed,3.130258799,38.52244943
161,1.409019593,0.978813041,0.273432741,0.113617503,0.04094913,0.001353457,1023.7251,1.985,failed,3.632296503,14.14604617
162,1.337826034,0.913246196,0.381576621,0.181563861,0.054995265,0.001339966,765.8494523,1.789,failed,2.981466889,22.30609972
163,0.984308043,0.911325823,0.371563367,0.170026455,0.085496304,0.001409049,734.8286734,0.968,failed,2.868877292,25.79487151
164,1.416525391,0.919435965,0.286100859,0.107922718,0.033215988,0.001308431,264.3066694,2.006,failed,2.951192617,36.25954919
165,0.911573954,0.962887908,0.375152686,0.112650369,0.068447418,0.001353228,922.3270962,0.83,failed,3.63281244,14.3305119
166,0.902323111,1.052654954,0.263663545,0.145856026,0.066340364,0.001474074,159.6581463,0.814,failed,2.985808253,38.63025131
167,1.559505612,0.91048502,0.282126764,0.168404108,0.047268759,0.00149011,853.969178,2.432,failed,3.030732572,15.52038278
168,1.298005358,0.939972604,0.312819186,0.121491756,0.072374523,0.001441996,642.2038614,1.684,failed,3.129182816,36.34005758
169,1.470044794,1.079210653,0.357750428,0.132111876,0.042820536,0.001367474,14.73286275,2.161,failed,3.278649151,41.69854907
170,0.961531849,0.914465277,0.381668585,0.107259886,0.033829569,0.001400016,1079.65481,0.924,failed,3.405586362,7.749566141
171,1.179815461,0.910541752,0.277178402,0.170817928,0.044760825,0.001344769,862.3777106,1.391,failed,2.755210757,3.483842391
